surname,nationality,split
Nassar,Arabic,train
Awad,Arabic,train
Ghanem,Arabic,train
Isa,Arabic,train
Samaha,Arabic,train
Abadi,Arabic,train
Haik,Arabic,train
Kassis,Arabic,train
Awad,Arabic,train
Sleiman,Arabic,train
Cham,Arabic,train
Sabbag,Arabic,train
Daher,Arabic,train
Bazzi,Arabic,train
Hajjar,Arabic,train
Kattan,Arabic,train
Bahar,Arabic,train
Handal,Arabic,train
Qureshi,Arabic,train
Boulos,Arabic,train
Tahan,Arabic,train
Cham,Arabic,train
Mustafa,Arabic,train
Boutros,Arabic,train
Mansour,Arabic,train
Koury,Arabic,train
Toma,Arabic,train
Sarkis,Arabic,train
Atiyeh,Arabic,train
Maloof,Arabic,train
Harb,Arabic,train
Harb,Arabic,train
Naifeh,Arabic,train
Shamoon,Arabic,train
Qureshi,Arabic,train
Bazzi,Arabic,train
Attia,Arabic,train
Guirguis,Arabic,train
Atiyeh,Arabic,train
Zogby,Arabic,train
Tuma,Arabic,train
Najjar,Arabic,train
Hadad,Arabic,train
Fakhoury,Arabic,train
Morcos,Arabic,train
Hakimi,Arabic,train
Fakhoury,Arabic,train
Sabbag,Arabic,train
Tuma,Arabic,train
Toma,Arabic,train
Hajjar,Arabic,train
Deeb,Arabic,train
Essa,Arabic,train
Gaber,Arabic,train
Morcos,Arabic,train
Nazari,Arabic,train
Asker,Arabic,train
Sarkis,Arabic,train
Bahar,Arabic,train
Nahas,Arabic,train
Hadad,Arabic,train
Morcos,Arabic,train
Abboud,Arabic,train
Asghar,Arabic,train
Toma,Arabic,train
Shalhoub,Arabic,train
Halabi,Arabic,train
Nader,Arabic,train
Seif,Arabic,train
Bahar,Arabic,train
Mustafa,Arabic,train
Baba,Arabic,train
Shadid,Arabic,train
Sleiman,Arabic,train
Nahas,Arabic,train
Bahar,Arabic,train
Shamon,Arabic,train
Sabbag,Arabic,train
Bata,Arabic,train
Tahan,Arabic,train
Masih,Arabic,train
Zogby,Arabic,train
Mifsud,Arabic,train
Ganim,Arabic,train
Boulos,Arabic,train
Assaf,Arabic,train
Asker,Arabic,train
Hajjar,Arabic,train
Shamon,Arabic,train
Srour,Arabic,train
Hadad,Arabic,train
Totah,Arabic,train
Tahan,Arabic,train
Nahas,Arabic,train
Sleiman,Arabic,train
Guirguis,Arabic,train
Daher,Arabic,train
Mikhail,Arabic,train
Zogby,Arabic,train
Nader,Arabic,train
Ghannam,Arabic,train
Samaha,Arabic,train
Bitar,Arabic,train
Asker,Arabic,train
Guirguis,Arabic,train
Isa,Arabic,train
Shamoon,Arabic,train
Asfour,Arabic,train
Totah,Arabic,train
Shamoun,Arabic,train
Deeb,Arabic,train
Sarraf,Arabic,train
Shalhoub,Arabic,train
Aswad,Arabic,train
Antar,Arabic,train
Touma,Arabic,train
Kouri,Arabic,train
Naifeh,Arabic,train
Sarraf,Arabic,train
Shadid,Arabic,train
Kanaan,Arabic,train
Maalouf,Arabic,train
Shamoon,Arabic,train
Srour,Arabic,train
Arian,Arabic,train
Quraishi,Arabic,train
Botros,Arabic,train
Srour,Arabic,train
Gaber,Arabic,train
Quraishi,Arabic,train
Amari,Arabic,train
Seif,Arabic,train
Shadid,Arabic,train
Moghadam,Arabic,train
Ghannam,Arabic,train
Wasem,Arabic,train
Masih,Arabic,train
Ghannam,Arabic,train
Kanaan,Arabic,train
Hajjar,Arabic,train
Handal,Arabic,train
Aswad,Arabic,train
Kalb,Arabic,train
Ganim,Arabic,train
Khoury,Arabic,train
Haik,Arabic,train
Arian,Arabic,train
Abboud,Arabic,train
Shadid,Arabic,train
Atiyeh,Arabic,train
Fakhoury,Arabic,train
Amari,Arabic,train
Koury,Arabic,train
Ganim,Arabic,train
Bata,Arabic,train
Kassis,Arabic,train
Asghar,Arabic,train
Sayegh,Arabic,train
Kattan,Arabic,train
Amari,Arabic,train
Haddad,Arabic,train
Deeb,Arabic,train
Asker,Arabic,train
Cham,Arabic,train
Awad,Arabic,train
Baba,Arabic,train
Cham,Arabic,train
Tuma,Arabic,train
Shadid,Arabic,train
Asghar,Arabic,train
Deeb,Arabic,train
Abboud,Arabic,train
Nahas,Arabic,train
Tahan,Arabic,train
Sabbag,Arabic,train
Ganim,Arabic,train
Sayegh,Arabic,train
Najjar,Arabic,train
Kassab,Arabic,train
Shamon,Arabic,train
Zogby,Arabic,train
Bishara,Arabic,train
Malouf,Arabic,train
Khouri,Arabic,train
Maloof,Arabic,train
Nahas,Arabic,train
Atiyeh,Arabic,train
Cham,Arabic,train
Botros,Arabic,train
Hadad,Arabic,train
Kanaan,Arabic,train
Dagher,Arabic,train
Sarkis,Arabic,train
Nader,Arabic,train
Abboud,Arabic,train
Sleiman,Arabic,train
Boutros,Arabic,train
Atiyeh,Arabic,train
Toma,Arabic,train
Issa,Arabic,train
Kassab,Arabic,train
Sabbagh,Arabic,train
Shammas,Arabic,train
Shamoun,Arabic,train
Naifeh,Arabic,train
Fakhoury,Arabic,train
Sarkis,Arabic,train
Kalb,Arabic,train
Kouri,Arabic,train
Kattan,Arabic,train
Basara,Arabic,train
Assaf,Arabic,train
Khouri,Arabic,train
Ganim,Arabic,train
Maroun,Arabic,train
Guirguis,Arabic,train
Baba,Arabic,train
Morcos,Arabic,train
Fakhoury,Arabic,train
Arian,Arabic,train
Mifsud,Arabic,train
Arian,Arabic,train
Guirguis,Arabic,train
Fakhoury,Arabic,train
Daher,Arabic,train
Sabbagh,Arabic,train
